Instancia;Método;Parámetro;T. ejecución;V. total;V. solapamiento;V. 8h;V. 6h;V. tiempo muerto;V. créditos
t1.1;first;6;3;19;0;0;0;19;0
t1.1;first;6;3;19;0;0;0;19;0
t1.1;first;6;3;55;36;0;0;19;0
t1.1;first;6;4;68;36;0;0;32;0
t1.1;first;6;3;19;0;0;0;19;0
t1.1;first;6;4;44;12;0;0;32;0
t1.1;first;6;4;43;12;0;0;31;0
t1.1;first;6;5;80;36;0;0;44;0
t1.1;first;6;4;12;12;0;0;0;0
t1.1;first;6;7;50;12;0;0;38;0
t1.1;first;6;4;31;12;0;0;19;0
t1.1;first;6;6;55;24;0;0;31;0
t1.1;first;6;4;0;0;0;0;0;0
t1.1;first;6;4;31;0;0;0;31;0
t1.1;first;6;5;31;0;0;0;31;0
t1.1;first;6;4;31;12;0;0;19;0
t1.1;first;6;4;38;0;0;0;38;0
t1.1;first;6;3;55;24;0;0;31;0
t1.1;first;6;6;80;48;0;0;32;0
t1.1;first;6;3;50;12;0;0;38;0
t1.1;first;6;3;31;0;0;0;31;0
t1.1;first;7;4;31;12;0;0;19;0
t1.1;first;7;4;12;12;0;0;0;0
t1.1;first;7;9;61;48;0;0;13;0
t1.1;first;7;6;112;48;0;0;64;0
t1.1;first;7;5;43;24;0;0;19;0
t1.1;first;7;4;86;36;0;0;50;0
t1.1;first;7;3;0;0;0;0;0;0
t1.1;first;7;4;69;0;0;0;69;0
t1.1;first;7;5;68;36;0;0;32;0
t1.1;first;7;7;105;60;0;0;45;0
t1.1;first;7;7;62;12;0;0;50;0
t1.1;first;7;3;62;24;0;0;38;0
t1.1;first;7;5;74;36;0;0;38;0
t1.1;first;7;3;43;12;0;0;31;0
t1.1;first;7;5;81;24;0;0;57;0
t1.1;first;7;4;24;24;0;0;0;0
t1.1;first;7;4;100;24;0;0;76;0
t1.1;first;7;4;55;36;0;0;19;0
t1.1;first;7;4;69;24;0;0;45;0
t1.1;first;7;6;61;48;0;0;13;0
t1.1;first;7;4;0;0;0;0;0;0
t1.1;first;7;5;38;0;0;0;38;0
t1.1;first;7;4;55;36;0;0;19;0
t1.1;first;7;6;67;48;0;0;19;0
t1.1;first;7;4;24;24;0;0;0;0
t1.1;first;7;3;44;12;0;0;32;0
t1.1;first;7;4;19;0;0;0;19;0
t1.1;first;7;6;103;72;0;0;31;0
t1.1;first;7;4;80;48;0;0;32;0
t1.1;first;7;6;74;36;0;0;38;0
t1.1;first;7;3;31;12;0;0;19;0
t1.1;first;7;3;56;24;0;0;32;0
t1.1;first;7;4;43;24;0;0;19;0
t1.1;first;7;5;68;24;0;0;44;0
t1.1;first;7;6;56;24;0;0;32;0
t1.1;first;7;7;36;36;0;0;0;0
t1.1;first;7;4;74;48;0;0;26;0
t1.1;first;7;4;86;36;0;0;50;0
t1.1;first;7;3;43;12;0;0;31;0
t1.1;first;7;4;43;24;0;0;19;0
t1.1;first;7;5;43;24;0;0;19;0
t1.1;first;7;3;19;0;0;0;19;0
t1.1;first;7;4;79;60;0;0;19;0
t1.1;first;7;7;104;60;0;0;44;0
t1.1;first;7;5;67;48;0;0;19;0
t1.1;first;7;5;43;24;0;0;19;0
t1.1;first;7;6;38;0;0;0;38;0
t1.1;first;7;3;31;12;0;0;19;0
t1.1;first;7;3;62;24;0;0;38;0
t1.1;first;7;4;75;24;0;0;51;0
t1.1;first;8;6;49;36;0;0;13;0
t1.1;first;8;15;67;48;0;0;19;0
t1.1;first;8;4;43;12;0;0;31;0
t1.1;first;8;3;56;24;0;0;32;0
t1.1;first;8;5;75;24;0;0;51;0
t1.1;first;8;4;31;12;0;0;19;0
t1.1;first;8;3;19;0;0;0;19;0
t1.1;first;8;8;87;36;0;0;51;0
t1.1;first;8;3;19;0;0;0;19;0
t1.1;first;8;4;67;48;0;0;19;0
t1.1;first;8;3;37;24;0;0;13;0
t1.1;first;8;3;68;24;0;0;44;0
t1.1;first;8;4;12;12;0;0;0;0
t1.1;first;8;5;50;12;0;0;38;0
t1.1;first;8;4;62;24;0;0;38;0
t1.1;first;8;5;50;12;0;0;38;0
t1.1;first;8;3;12;12;0;0;0;0
t1.1;first;8;6;55;36;0;0;19;0
t1.1;first;8;3;62;24;0;0;38;0
t1.1;first;8;4;43;12;0;0;31;0
t1.1;first;8;4;81;36;0;0;45;0
t1.1;first;8;5;55;36;0;0;19;0
t1.1;first;8;4;31;12;0;0;19;0
t1.1;first;8;5;43;24;0;0;19;0
t1.1;first;8;4;63;12;0;0;51;0
t1.1;first;8;4;43;24;0;0;19;0
t1.1;first;8;4;31;12;0;0;19;0
t1.1;first;8;4;43;24;0;0;19;0
t1.1;first;8;5;80;48;0;0;32;0
t1.1;first;8;6;56;24;0;0;32;0
t1.1;first;8;6;50;12;0;0;38;0
t1.1;first;8;6;56;24;0;0;32;0
t1.1;first;8;7;43;12;0;0;31;0
t1.1;first;8;7;31;12;0;0;19;0
t1.1;first;8;6;55;36;0;0;19;0
t1.1;first;8;6;81;24;0;0;57;0
t1.1;first;8;8;38;0;0;0;38;0
t1.1;first;8;5;74;36;0;0;38;0
t1.1;first;8;4;79;48;0;0;31;0
t1.1;first;8;4;68;36;0;0;32;0
t1.1;first;8;6;62;24;0;0;38;0
t1.1;first;8;5;19;0;0;0;19;0
t1.1;first;8;8;43;24;0;0;19;0
t1.1;first;8;4;19;0;0;0;19;0
t1.1;first;8;4;50;12;0;0;38;0
t1.1;first;8;8;24;24;0;0;0;0
t1.1;first;8;5;38;0;0;0;38;0
t1.1;first;8;5;31;12;0;0;19;0
t1.1;first;8;3;25;12;0;0;13;0
t1.1;first;8;4;49;36;0;0;13;0
t1.1;first;9;4;19;0;0;0;19;0
t1.1;first;9;5;31;12;0;0;19;0
t1.1;first;9;4;62;12;0;0;50;0
t1.1;first;9;4;31;12;0;0;19;0
t1.1;first;9;4;43;12;0;0;31;0
t1.1;first;9;3;24;24;0;0;0;0
t1.1;first;9;4;19;0;0;0;19;0
t1.1;first;9;5;36;36;0;0;0;0
t1.1;first;9;3;81;12;0;0;69;0
t1.1;first;9;6;111;48;0;0;63;0
t1.1;first;9;4;38;0;0;0;38;0
t1.1;first;9;4;79;60;0;0;19;0
t1.1;first;9;5;68;36;0;0;32;0
t1.1;first;9;3;36;36;0;0;0;0
t1.1;first;9;4;43;12;0;0;31;0
t1.1;first;9;5;119;24;0;0;95;0
t1.1;first;9;3;19;0;0;0;19;0
t1.1;first;9;4;55;36;0;0;19;0
t1.1;first;9;5;112;48;0;0;64;0
t1.1;first;9;6;123;72;0;0;51;0
t1.1;first;9;4;67;36;0;0;31;0
t1.1;first;9;8;86;48;0;0;38;0
t1.1;first;9;4;38;0;0;0;38;0
t1.1;first;9;6;118;48;0;0;70;0
t1.1;first;9;4;38;0;0;0;38;0
t1.1;first;9;4;48;48;0;0;0;0
t1.1;first;9;5;86;48;0;0;38;0
t1.1;first;9;3;43;24;0;0;19;0
t1.1;first;9;3;24;24;0;0;0;0
t1.1;first;9;4;69;24;0;0;45;0
t1.1;first;9;5;112;48;0;0;64;0
t1.1;first;9;5;67;36;0;0;31;0
t1.1;first;9;5;80;48;0;0;32;0
t1.1;first;9;4;19;0;0;0;19;0
t1.1;first;9;4;55;36;0;0;19;0
t1.1;first;9;4;48;48;0;0;0;0
t1.1;first;9;4;75;24;0;0;51;0
t1.1;first;9;5;56;24;0;0;32;0
t1.1;first;9;6;68;36;0;0;32;0
t1.1;first;9;4;62;12;0;0;50;0
t1.1;first;9;4;12;12;0;0;0;0
t1.1;first;9;4;50;12;0;0;38;0
t1.1;first;9;5;38;0;0;0;38;0
t1.1;first;9;4;62;12;0;0;50;0
t1.1;first;9;4;36;36;0;0;0;0
t1.1;first;9;8;112;24;0;0;88;0
t1.1;first;9;4;48;48;0;0;0;0
t1.1;first;9;4;43;24;0;0;19;0
t1.1;first;9;4;106;36;0;0;70;0
t1.1;first;9;4;50;12;0;0;38;0
t1.2;first;1;9;31;12;0;0;19;0
t1.2;first;1;13;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;6;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;6;31;12;0;0;19;0
t1.2;first;1;6;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;7;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;6;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
